Sample	raw pair1	raw pair2	final pair1	final pair2
Meth_Acq001_FDSW202366982-1r_1	22990291	22990291	20916923	20916923
Meth_Acq002_FDSW202366983-1r_1	22635635	22635635	20768039	20768039
Meth_Acq003_FDSW202366984-1r_1	21931596	21931596	20451090	20451090
Meth_Acq004_FDSW202366985-1r_1	20155400	20155400	18246128	18246128
Meth_Acq005_FDSW202366986-1r_1	21993612	21993612	20504072	20504072
Meth_Ext001_FDSW202366992-1r_1	22074874	22074874	18792622	18792622
Meth_Ext002_FDSW202366993-1r_1	23551651	23551651	21422987	21422987
Meth_Ext003_FDSW202366994-1r_1	21260768	21260768	20147266	20147266
Meth_Ext004_FDSW202366995-1r_1	23272433	23272433	21662975	21662975
Meth_Ext005_FDSW202366996-1r_1	22052530	22052530	20417268	20417268
Meth_Pre001_FDSW202366972-1r_1	22567985	22567985	21022244	21022244
Meth_Pre002_FDSW202366973-1r_1	19808938	19808938	17658155	17658155
Meth_Pre003_FDSW202366974-1r_1	20107584	20107584	18834985	18834985
Meth_Pre004_FDSW202366975-1r_1	21569438	21569438	20146133	20146133
Meth_Pre005_FDSW202366976-1r_1	22915746	22915746	21686101	21686101
Meth_Rein001_FDSW202367002-1r_1	22796895	22796895	19600642	19600642
Meth_Rein002_FDSW202367003-1r_1	22921167	22921167	20708461	20708461
Meth_Rein003_FDSW202367004-1r_1	22109742	22109742	19868113	19868113
Meth_Rein004_FDSW202367005-1r_1	22597223	22597223	17596626	17596626
Meth_Rein005_FDSW202367006-1r_1	23166230	23166230	20745008	20745008
Meth_Rein006_FDSW202367012-1r_1	20215133	20215133	18811842	18811842
Meth_Rein007_FDSW202367013-1r_1	24758476	24758476	21816864	21816864
Meth_Rein008_FDSW202367014-1r_1	22216673	22216673	20224630	20224630
Meth_Rein009_FDSW202367015-1r_1	20791023	20791023	17921951	17921951
Meth_Rein010_FDSW202367016-1r_1	23522118	23522118	21615530	21615530
Sal_Acq001_FDSW202366977-1r_1	22104172	22104172	20835493	20835493
Sal_Acq002_FDSW202366978-1r_1	20975378	20975378	19272083	19272083
Sal_Acq003_FDSW202366979-1r_1	23081160	23081160	21459777	21459777
Sal_Acq004_FDSW202366980-1r_1	22978559	22978559	21001064	21001064
Sal_Acq005_FDSW202366981-1r_1	22918678	22918678	20423354	20423354
Sal_Ext001_FDSW202366987-1r_1	23518270	23518270	21957505	21957505
Sal_Ext002_FDSW202366988-1r_1	23067920	23067920	21530374	21530374
Sal_Ext003_FDSW202366989-1r_1	22404183	22404183	20824027	20824027
Sal_Ext004_FDSW202366990-1r_1	21896828	21896828	19428091	19428091
Sal_Ext005_FDSW202366991-1r_1	21961254	21961254	19177839	19177839
Sal_Pre001_FDSW202366967-1r_1	20862206	20862206	19020399	19020399
Sal_Pre002_FDSW202366968-1r_1	22105082	22105082	20081002	20081002
Sal_Pre003_FDSW202366969-1r_1	22788280	22788280	21352615	21352615
Sal_Pre004_FDSW202366970-1r_1	21978924	21978924	20264101	20264101
Sal_Pre005_FDSW202366971-1r_1	21193723	21193723	19758659	19758659
Sal_Rein001_FDSW202366997-1r_1	20707728	20707728	17637229	17637229
Sal_Rein002_FDSW202366998-1r_1	21534653	21534653	19507175	19507175
Sal_Rein003_FDSW202366999-1r_1	19733941	19733941	18077713	18077713
Sal_Rein004_FDSW202367000-1r_1	22148463	22148463	19582879	19582879
Sal_Rein005_FDSW202367001-1r_1	22546731	22546731	19978321	19978321
Sal_Rein006_FDSW202367007-1r_1	21089907	21089907	15408130	15408130
Sal_Rein007_FDSW202367008-1r_1	19507134	19507134	17112505	17112505
Sal_Rein008_FDSW202367009-1r_1	19881216	19881216	16078679	16078679
Sal_Rein009_FDSW202367010-1r_1	20491029	20491029	17561644	17561644
Sal_Rein010_FDSW202367011-1r_1	20661462	20661462	16086662	16086662
