SampleID	Group	Replicate	Drug	CPP_phase
Meth_Pre001	Meth_Pre	1	methamphetamine	preconditioning
Meth_Pre002	Meth_Pre	2	methamphetamine	preconditioning
Meth_Pre003	Meth_Pre	3	methamphetamine	preconditioning
Meth_Pre004	Meth_Pre	4	methamphetamine	preconditioning
Meth_Pre005	Meth_Pre	5	methamphetamine	preconditioning
Meth_Acq001	Meth_Acq	1	methamphetamine	acquisition
Meth_Acq002	Meth_Acq	2	methamphetamine	acquisition
Meth_Acq003	Meth_Acq	3	methamphetamine	acquisition
Meth_Acq004	Meth_Acq	4	methamphetamine	acquisition
Meth_Acq005	Meth_Acq	5	methamphetamine	acquisition
Meth_Ext001	Meth_Ext	1	methamphetamine	extinction
Meth_Ext002	Meth_Ext	2	methamphetamine	extinction
Meth_Ext003	Meth_Ext	3	methamphetamine	extinction
Meth_Ext004	Meth_Ext	4	methamphetamine	extinction
Meth_Ext005	Meth_Ext	5	methamphetamine	extinction
Meth_Rein001	Meth_Rein	1	methamphetamine	reinstatement 
Meth_Rein002	Meth_Rein	2	methamphetamine	reinstatement 
Meth_Rein003	Meth_Rein	3	methamphetamine	reinstatement 
Meth_Rein004	Meth_Rein	4	methamphetamine	reinstatement 
Meth_Rein005	Meth_Rein	5	methamphetamine	reinstatement 
Sal_Pre001	Sal_Pre	1	saline	preconditioning
Sal_Pre002	Sal_Pre	2	saline	preconditioning
Sal_Pre003	Sal_Pre	3	saline	preconditioning
Sal_Pre004	Sal_Pre	4	saline	preconditioning
Sal_Pre005	Sal_Pre	5	saline	preconditioning
Sal_Acq001	Sal_Acq	1	saline	acquisition
Sal_Acq002	Sal_Acq	2	saline	acquisition
Sal_Acq003	Sal_Acq	3	saline	acquisition
Sal_Acq004	Sal_Acq	4	saline	acquisition
Sal_Acq005	Sal_Acq	5	saline	acquisition
Sal_Ext001	Sal_Ext	1	saline	extinction
Sal_Ext002	Sal_Ext	2	saline	extinction
Sal_Ext003	Sal_Ext	3	saline	extinction
Sal_Ext004	Sal_Ext	4	saline	extinction
Sal_Ext005	Sal_Ext	5	saline	extinction
Sal_Rein001	Sal_Rein	1	saline	reinstatement 
Sal_Rein002	Sal_Rein	2	saline	reinstatement 
Sal_Rein003	Sal_Rein	3	saline	reinstatement 
Sal_Rein004	Sal_Rein	4	saline	reinstatement 
Sal_Rein005	Sal_Rein	5	saline	reinstatement 
