Group	Sal_Acq	Sal_Acq	Sal_Acq	Sal_Acq	Sal_Acq	Sal_Ext	Sal_Ext	Sal_Ext	Sal_Ext	Sal_Ext	Sal_Pre	Sal_Pre	Sal_Pre	Sal_Pre	Sal_Pre	Sal_Rein	Sal_Rein	Sal_Rein	Sal_Rein	Sal_Rein
d_Archaea|p_Candidatus_Geothermarchaeota|g_Conexivisphaera|s_Conexivisphaera_calidus	2	2	3	5	3	1	4	1	3	1	4	1	2	0	1	0	1	1	0	3
d_Archaea|p_Candidatus_Korarchaeota|g_Candidatus_Korarchaeum|s_Candidatus_Korarchaeum_cryptofilum	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1
d_Archaea|p_Candidatus_Lokiarchaeota|g_Candidatus_Prometheoarchaeum|s_Candidatus_Prometheoarchaeum_syntrophicum	20	27	13	24	12	60	68	21	15	9	24	15	30	13	35	7	15	15	13	20
d_Archaea|p_Candidatus_Micrarchaeota|g_Candidatus_Mancarchaeum|s_Candidatus_Mancarchaeum_acidiphilum	4	3	0	0	0	7	5	0	0	0	0	0	2	0	7	0	0	0	1	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Acidilobales|f_Acidilobaceae|g_Acidilobus|s_Acidilobus_saccharovorans	8	0	1	2	0	15	4	1	0	3	0	2	2	1	5	3	10	5	1	1
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Acidilobales|f_Acidilobaceae|g_Acidilobus|s_Acidilobus_sp__7A	0	2	0	4	8	1	1	0	2	0	0	0	1	0	0	3	0	1	3	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Acidilobales|f_Caldisphaeraceae|g_Caldisphaera|s_Caldisphaera_lagunensis	0	3	4	0	4	8	26	7	1	0	1	2	1	0	4	7	2	0	0	5
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Aeropyrum|s_Aeropyrum_camini	0	2	0	2	0	0	0	23	1	3	1	3	0	0	1	1	0	17	4	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Aeropyrum|s_Aeropyrum_pernix	1	10	6	17	8	12	16	13	9	6	8	2	2	6	14	14	13	4	14	2
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Desulfurococcus|s_Desulfurococcus_amylolyticus	0	0	8	0	2	1	11	0	0	0	0	0	0	0	0	0	0	0	1	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Desulfurococcus|s_Desulfurococcus_mucosus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Ignicoccus|s_Ignicoccus_hospitalis	8	10	12	2	1	7	0	35	6	53	8	7	7	0	7	5	1	37	7	33
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Ignicoccus|s_Ignicoccus_islandicus	0	0	0	0	0	0	1	0	1	1	0	0	2	0	4	0	0	0	0	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Staphylothermus|s_Staphylothermus_hellenicus	2	1	1	3	6	10	19	1	0	3	8	2	2	2	14	0	1	0	1	4
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Staphylothermus|s_Staphylothermus_marinus	0	0	4	6	0	21	28	1	1	0	0	0	0	0	6	1	2	0	0	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Thermogladius|s_Thermogladius_calderae	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	4	0	0	2	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Thermosphaera|s_Thermosphaera_aggregans	0	0	1	0	0	2	1	8	0	1	0	0	0	0	3	0	0	0	0	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Pyrodictiaceae|g_Hyperthermus|s_Hyperthermus_butylicus	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Pyrodictiaceae|g_Pyrodictium|s_Pyrodictium_delaneyi	0	0	0	1	2	1	5	1	1	0	0	0	1	0	0	1	3	0	0	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Pyrodictiaceae|g_Pyrolobus|s_Pyrolobus_fumarii	0	0	1	0	3	26	31	2	0	7	1	1	0	1	0	5	2	1	1	8
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Fervidicoccales|f_Fervidicoccaceae|g_Fervidicoccus|s_Fervidicoccus_fontis	1	9	10	2	4	7	7	2	0	7	0	0	0	0	4	0	1	1	5	7
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Acidianus|s_Acidianus_ambivalens	2	0	0	0	0	3	12	8	5	1	9	4	2	0	1	1	0	0	12	0
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Acidianus|s_Acidianus_brierleyi	9	5	8	24	13	27	22	2	5	2	17	6	26	8	62	10	13	4	13	5
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Acidianus|s_Acidianus_hospitalis	1	0	0	0	0	11	20	0	1	2	0	0	0	0	3	3	0	0	0	3
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Acidianus|s_Acidianus_manzaensis	27	32	43	1	24	96	144	43	16	14	95	37	10	31	120	23	59	67	20	20
