genus	num	p	r
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Acidilobales|f_Caldisphaeraceae|g_Caldisphaera	5	0.0148475985945241	-0.536008544947546
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Desulfurococcus	1	0.0188106645189768	-0.519824976333621
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Thermosphaera	0	0.00824201702522636	-0.57319845577976
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Acidianus	101	0.0301422890166921	-0.485144825583654
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Sulfolobus	18	0.00160779883661366	-0.658125170630855
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Thermoproteales|f_Thermoproteaceae|g_Vulcanisaeta	5	7.39016277079791e-05	-0.769116241460563
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|f_Haloferacaceae|g_Haloquadratum	8	0.0210576015373822	-0.511831335353192
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|f_Halorubraceae|g_Halohasta	4	0.0049869057972142	-0.601900038135761
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|f_Halorubraceae|g_Halorubrum	242	0.0199197634597036	-0.515789473684211
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|f_Halorubraceae|g_Salinigranum	3	0.0152794308677349	0.534087576097492
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|g_Halalkaliarchaeum	2	0.0206269430982847	-0.513308948641465
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Natrialbales|f_Natrialbaceae|g_Halostagnicola	13	0.0171102792575526	0.526397568521739
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter	146	0.0236580968175162	-0.503386147016805
d_Archaea|p_Euryarchaeota|c_Methanococci|o_Methanococcales|f_Methanococcaceae|g_Methanococcus	128	0.0343976746007874	-0.474793211909722
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanocellales|f_Methanocellaceae|g_Methanocella	53	0.0322756406974162	-0.479821701387803
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanomicrobiales|f_Methanoregulaceae|g_Methanosphaerula	16	0.00743343893706495	-0.57931108449463
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanomicrobiales|f_Methanospirillaceae|g_Methanospirillum	26	0.0140308391740147	-0.539768181181778
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae|g_Methanococcoides	95	0.00853472310819235	-0.571106256480949
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae|g_Methanomethylovorans	32	0.0482783058991419	-0.446784537049132
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae|g_Methanosalsum	8	0.0492168029423143	-0.445127666272419
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae|g_Methanosarcina	285	0.00716981892741812	-0.5814216281801
