species	p	r
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Acidilobales|f_Caldisphaeraceae|g_Caldisphaera|s_Caldisphaera lagunensis	0.025790908408622	0.496992705545776
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Desulfurococcales|f_Desulfurococcaceae|g_Staphylothermus|s_Staphylothermus hellenicus	0.0192565907629134	0.51818022191759
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Acidianus|s_Acidianus brierleyi	0.0243831388851493	0.501163368194445
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Acidianus|s_Acidianus sulfidivorans	0.000158308765547211	0.746143640042631
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Saccharolobus|s_Saccharolobus solfataricus	0.0328254417231344	0.478494636611973
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Sulfolobus|s_Sulfolobus acidocaldarius	0.00772303643444235	0.577062009737007
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Sulfolobus|s_Sulfolobus sp. A20	0.0149988448027761	0.535330689731516
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Sulfuracidifex|s_Sulfuracidifex tepidarius	0.0112119621892132	0.554272536855997
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Sulfolobales|f_Sulfolobaceae|g_Sulfurisphaera|s_Sulfurisphaera ohwakuensis	0.00648323588271723	0.587233038822337
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Thermoproteales|f_Thermoproteaceae|g_Pyrobaculum|s_Pyrobaculum aerophilum	0.0417796649876905	0.458993245366988
d_Archaea|p_Crenarchaeota|c_Thermoprotei|o_Thermoproteales|f_Thermoproteaceae|g_Pyrobaculum|s_Pyrobaculum ferrireducens	0.0349791015297753	0.47345780678381
d_Archaea|p_Euryarchaeota|c_Archaeoglobi|o_Archaeoglobales|f_Archaeoglobaceae|g_Archaeoglobus|s_Archaeoglobus profundus	0.0109637787722259	0.555686320548349
